input,taxid,taxon,tax_rank,tax_division,parentid,parentname,specimenrecords,representitive_image.image,representitive_image.apectratio,taxonrep
Eunice americana,300523,Eunice americana,species,Animalia,80788,Eunice,3,CMBIA/00180Eunice_americanaDorsalAnteriorWScaleVRR+1321995548.jpg,1.333,Eunice americana
Lepidasthenia,205809,Lepidasthenia,genus,Animalia,28521,Polynoidae,20,DEEP/PAS00007+1305928762.jpg,1.333,NA
Lepidasthenia berkeleyae,205810,Lepidasthenia berkeleyae,species,Animalia,205809,Lepidasthenia,4,BBPS/dFHL_10820a+1585247474.jpg,2.598,Lepidasthenia berkeleyae
Lepidasthenia longicirrata,370448,Lepidasthenia longicirrata,species,Animalia,205809,Lepidasthenia,6,CMBIA/00205Lepidasthenia_longicirrataVRRDorsal+1323113830.jpg,1.333,Lepidasthenia longicirrata
Lepidepecreum garthi,996407,Lepidepecreum garthi,species,Animalia,88681,Lepidepecreum,3,NA,NA,Lepidepecreum garthi
Lepidepecreum gurjanovae,803357,Lepidepecreum gurjanovae,species,Animalia,88681,Lepidepecreum,1,BHAK/dHAK_06497a+1517968578.jpg,1.675,Lepidepecreum gurjanovae
Lepidonotus,88420,Lepidonotus,genus,Animalia,214473,Lepidonotinae,194,NBPOL/HP_411+1221057978.JPG,1.499,Lepidonotus
Lepidozona,4596,Lepidozona,genus,Animalia,1474,Ischnochitonidae,223,RBCMI/IMG_0982+1396641928.JPG,1.499,Lepidozona
Lepidozona radians,105254,Lepidozona radians,species,Animalia,4596,Lepidozona,20,BCMOL/10BCMOL-00286+1335233166.JPG,1.502,Lepidozona radians
Leptochelia,276481,Leptochelia,genus,Animalia,276480,Leptocheliinae,374,CMBIA/IMGP7968+1280248214.jpg,1.236,Leptochelia
Leptochiton nexus,981326,Leptochiton nexus,species,Animalia,105263,Leptochiton,6,NA,NA,NA
Leptochiton rugatus,105264,Leptochiton rugatus,species,Animalia,105263,Leptochiton,57,RBCMI/IMG_0990+1396879584.JPG,1.471,Leptochiton rugatus
Leptopecten latiauratus,1061807,Leptopecten latiauratus,species,Animalia,1061806,Leptopecten,1,NA,NA,NA
Leptostylis abditis,996402,Leptostylis abditis,species,Animalia,514433,Leptostylis,1,NA,NA,Leptostylis abditis
Leptosynapta,160323,Leptosynapta,genus,Animalia,84372,Synaptidae,119,NSECH/MT03711+1317148392.jpg,1.333,Leptosynapta
Leucilla nuttingi,237717,Leucilla nuttingi,species,Animalia,237709,Leucilla,3,POIMB/dOIMB_00711a+1565360394.jpg,1.773,Leucilla nuttingi
Leucon falcicosta,996400,Leucon falcicosta,species,Animalia,514436,Leucon,3,NA,NA,Leucon falcicosta
Leucosolenia nautilia,238086,Leucosolenia nautilia,species,Animalia,238053,Leucosolenia,1,NA,NA,NA
Leucothoe nagatai,931963,Leucothoe nagatai,species,Animalia,88704,Leucothoe,6,NA,NA,NA
Leukoma,371340,Leukoma,genus,Animalia,1141899,Venerinae,78,RBCMI/IMG_7571+1396619626.JPG,1.499,Leukoma
Leukoma staminea,484121,Leukoma staminea,species,Animalia,371340,Leukoma,51,RBCMI/IMG_7571+1396619626.JPG,1.499,Leukoma staminea
Leuroleberis sharpei,370411,Leuroleberis sharpei,species,Animalia,370410,Leuroleberis,1,CMBIA/00130WLeuroleberis_sharpeiVRRScale+1321990440.jpg,1.333,Leuroleberis sharpei
Levinsenia,122731,Levinsenia,genus,Animalia,122725,Paraonidae,97,POLNB/ZMBN_95711+1402938164.jpg,1.333,NA
Levinsenia gracilis,122732,Levinsenia gracilis,species,Animalia,122731,Levinsenia,50,POLNB/ZMBN_95711+1402938164.jpg,1.333,Levinsenia gracilis
Liljeborgia,213269,Liljeborgia,genus,Animalia,527084,Liljeborgiinae,50,AMPNB/UMB_NB_amph112+1390926300.jpg,1.331,Liljeborgia
Limaria hemphilli,895634,Limaria hemphilli,species,Animalia,2078,Limaria,5,DISA/3612_img_013+1473374144.jpg,1.499,Limaria hemphilli
Lineus,25882,Lineus,genus,Animalia,1819,Lineidae,579,NORGE/1373+1395951942.jpg,1.333,Lineus
Lineus bilineatus,110005,Lineus bilineatus,species,Animalia,25882,Lineus,15,CMBIA/00364Lineus_bilineatusAnteriorVRR+1324594920.jpg,1.333,Lineus bilineatus
Lineus flavescens,939090,Lineus flavescens,species,Animalia,25882,Lineus,41,NA,NA,NA
Lirobarleeia kelseyi,1075801,Lirobarleeia kelseyi,species,Animalia,1075800,Lirobarleeia,1,NA,NA,NA
Lirobittium,370507,Lirobittium,genus,Animalia,370506,Bittiinae,29,CMBIA/00333Lirobittium_spVRR+1324594880.jpg,1.333,Lirobittium
Idunella,348699,Idunella,genus,Animalia,527083,Idunellinae,35,MIAMP/ZMBN_107206+1456149434.jpg,1.333,NA
Listriolobus,293149,Listriolobus,genus,Animalia,293148,Thalassematinae,5,CMBIA/00322Listriolobus_pelodesVRR+1324594870.jpg,1.333,NA
Listriolobus pelodes,293150,Listriolobus pelodes,species,Animalia,293149,Listriolobus,3,CMBIA/00322Listriolobus_pelodesVRR+1324594870.jpg,1.333,Listriolobus pelodes
Littorina keenae,80582,Littorina keenae,species,Animalia,6357,Littorina,26,POIMB/dOIMB_04151a+1570142414.jpg,1.356,Littorina keenae
Loimia,28572,Loimia,genus,Animalia,28571,Terebellidae,81,HZPLY/BIOUG06647-C07+1373418894.jpg,1.054,NA
Lophopanopeus,322344,Lophopanopeus,genus,Animalia,1543,Panopeidae,146,DFO/P6145526+1308075520.JPG,1.333,Lophopanopeus
Lophopanopeus bellus,395161,Lophopanopeus bellus,species,Animalia,322344,Lophopanopeus,128,DFO/P6145526+1308075520.JPG,1.333,Lophopanopeus bellus
Tectura depicta,1078988,Tectura depicta,species,Animalia,2022,Tectura,1,NA,NA,Tectura depicta
Lottia instabilis,801294,Lottia instabilis,species,Animalia,80071,Lottia,6,BHAK/dHAK_01180a+1516965954.jpg,1.336,Lottia instabilis
Lovenia cordiformis,82716,Lovenia cordiformis,species,Animalia,82715,Lovenia,11,DISA/3352_DISCO3352_label+1515513252.jpg,1.499,Lovenia cordiformis
Loxorhynchus crispatus,201406,Loxorhynchus crispatus,species,Animalia,201405,Loxorhynchus,10,LACSA/DNA_trawl_invert_Loxorhynchus_crispatus_T4-23_plate_1_cell_E7Lighter+1285275892.jpg,1.333,Loxorhynchus crispatus
Loxosomella,302864,Loxosomella,genus,Animalia,302863,Loxosomatidae,7,NA,NA,NA
Loy thompsoni,955691,Loy thompsoni,species,Animalia,955690,Loy,1,BBPS/dFHL_11655a+1585281364.jpg,1.4,Loy thompsoni
Lucinisca nuttalli,1075803,Lucinisca nuttalli,species,Animalia,987900,Lucinisca,1,NA,NA,NA
Lucinoma annulata,600757,Lucinoma annulata,species,Animalia,600729,Lucinoma,13,LHABC/BIOUG48552_H04.0+1634159125.JPG,1.499,Lucinoma annulata
Luidia,24753,Luidia,genus,Animalia,24752,Luidiidae,243,DSPEC/NEOCAL07-0114+1186599302.jpg,1.499,Luidia
Luidia armata,220780,Luidia armata,species,Animalia,24753,Luidia,1,"DISA/4105_DISCO4105_2017_01_31_16_08_28_[B,Radius8,Smoothing4]+1485907724.jpg",1.499,Luidia armata
Luidia asthenosoma,220782,Luidia asthenosoma,species,Animalia,24753,Luidia,2,LACSA/DNA_trawl_invert_Luidia_asthenosoma_T1-61_plate_1_cell_E4_not_E3_as_in_photo+1281019706.jpg,1.333,Luidia asthenosoma
Luidia foliolata,32894,Luidia foliolata,species,Animalia,24753,Luidia,25,DSPEC/NEOCAL07-0114+1186599302.jpg,1.499,Luidia foliolata
Lumbrinerides,560288,Lumbrinerides,genus,Animalia,82852,Lumbrineridae,39,MIWAP/UMBergen_MBOWA_miwa43+1378835774.jpg,1.506,Lumbrinerides
Lumbrineriopsis,942332,Lumbrineriopsis,genus,Animalia,82852,Lumbrineridae,5,MIWAP/UMBergen_MBOWA_miwa45+1378835774.jpg,1.506,Lumbrineriopsis
Lumbrineris,152863,Lumbrineris,genus,Animalia,82852,Lumbrineridae,387,BCPOL/BAMPOL0203+1217344456.JPG,1.499,Lumbrineris
Lumbrineris cruzensis,370449,Lumbrineris cruzensis,species,Animalia,152863,Lumbrineris,41,CMBIA/00207Lumbreneris_cruzensisAnteriorOnLeftVRR+1323113832.jpg,1.333,Lumbrineris cruzensis
Lumbrineris inflata,535665,Lumbrineris inflata,species,Animalia,152863,Lumbrineris,9,HZPLY/BIOUG06397-D12-6+1372346826.jpg,0.98,Lumbrineris inflata
Lumbrineris japonica,205757,Lumbrineris japonica,species,Animalia,152863,Lumbrineris,37,BCPOL/BAMPOL0203+1217344456.JPG,1.499,Lumbrineris japonica
Lumbrineris latreilli,171871,Lumbrineris latreilli,species,Animalia,152863,Lumbrineris,11,HZPLY/LP20201-2+1528749562.jpg,1.641,Lumbrineris latreilli
Lumbrineris ligulata,370450,Lumbrineris ligulata,species,Animalia,152863,Lumbrineris,1,CMBIA/00210Lumbrineris_lingulataDorsalAtAnteriorVRR+1323113838.jpg,1.333,Lumbrineris ligulata
Lumbrineris cingulata,1129665,Lumbrineris cingulata,species,Animalia,152863,Lumbrineris,8,NA,NA,NA
Lyonsia californica,370509,Lyonsia californica,species,Animalia,2447,Lyonsia,7,BHAK/11_06103a+1669421839.jpg,1.27,Lyonsia californica
Lysippe,299362,Lysippe,genus,Animalia,214495,Ampharetinae,43,POLNB/ZMBN_95366+1396981436.JPG,1.499,Lysippe
Lytechinus pictus,172032,Lytechinus pictus,species,Animalia,148892,Lytechinus,21,LACSA/DNA_trawl_invert_Lytechinus_pictus_T5-61_plate_1_cell_A12+1257888684.jpg,1.333,Lytechinus pictus
Macoma,88399,Macoma,genus,Animalia,646949,Macominae,885,ARMOL/11ARMOL-00024+1335235786.JPG,1.451,Macoma
Macoma carlottensis,804666,Macoma carlottensis,species,Animalia,88399,Macoma,26,LHABC/BIOUG48552_A12.1+1637089666.jpg,1.502,Macoma carlottensis
Macoma nasuta,387497,Macoma nasuta,species,Animalia,88399,Macoma,45,DFO/P6165625+1308245330.JPG,1.333,Macoma nasuta
Rexithaerus secta,932053,Rexithaerus secta,species,Animalia,932052,Rexithaerus,2,WIZCO/OIMB-054-P1+1530134518.jpg,1.778,Rexithaerus secta
Macoploma yoldiformis,955699,Macoploma yoldiformis,species,Animalia,955698,Macoploma,8,BBPS/dFHL_11440a+1585277856.jpg,1.633,Macoploma yoldiformis
Macrochaeta,201037,Macrochaeta,genus,Animalia,125431,Acrocirridae,86,POLNB/ZMBN_95733+1402938170.jpg,1.333,Macrochaeta
Mactromeris,499232,Mactromeris,genus,Animalia,888913,Mactrinae,8,AKMOL/11BIOAK-0360+1320076750.JPG,1.425,NA
Mactromeris catilliformis,499233,Mactromeris catilliformis,species,Animalia,499232,Mactromeris,3,NA,NA,NA
Mactrotoma,1143270,Mactrotoma,genus,Animalia,888913,Mactrinae,1,NA,NA,NA
Maculaura alaskensis,852484,Maculaura alaskensis,species,Animalia,852483,Maculaura,59,WIZFB/LFHL02_pilidium_larva_of_Maculaura_alaskensis+1653663991.jpg,0.78,Maculaura alaskensis
Maera similis,981067,Maera similis,species,Animalia,123299,Maera,6,BHAK/dHAK_04712a+1517278555.jpg,1.535,Maera similis
Magelona,122723,Magelona,genus,Animalia,122722,Magelonidae,337,BNSP/MT03461+1314902080.jpg,1.333,Magelona
Magelona berkeleyi,981317,Magelona berkeleyi,species,Animalia,122723,Magelona,1,NA,NA,NA
Magelona pitelkai,932054,Magelona pitelkai,species,Animalia,122723,Magelona,2,WIZCO/OIMB-059p2+1531941342.jpg,1.333,Magelona pitelkai
Magelona sacculata,385906,Magelona sacculata,species,Animalia,122723,Magelona,11,CMBIA/00392Magelona_sacculataLateralVRR+1328213812.jpg,1.333,Magelona sacculata
Makrokylindrus,1203635,Makrokylindrus,genus,Animalia,1682,Diastylidae,15,NA,NA,Makrokylindrus
Malacoceros indicus,920934,Malacoceros indicus,species,Animalia,190358,Malacoceros,4,NA,NA,NA
Malacoplax californiensis,934589,Malacoplax californiensis,species,Animalia,322333,Malacoplax,3,NA,NA,NA
Maldane,204050,Maldane,genus,Animalia,204049,Maldaninae,157,POLNB/UMBergen_NB_mald84+1361203094.JPG,1.499,NA
Maldane sarsi,204051,Maldane sarsi,species,Animalia,204050,Maldane,71,CMBIA/00517Maldane_sarsiDorsoLateralVRR+1326752796.jpg,1.333,Maldane sarsi
Malletia,600734,Malletia,genus,Animalia,532442,Malletiidae,8,ICBA/ZMBN_139779+1625758618.jpg,1.333,NA
Malletia faba,600750,Malletia faba,species,Animalia,600734,Malletia,1,RBCMI/IMG_0552+1396626574.JPG,1.379,Malletia faba
Malmgreniella,190328,Malmgreniella,genus,Animalia,28521,Polynoidae,39,CMBIA/00219Malmgreniella_baschiDorsalVRR+1323113850.jpg,1.333,Malmgreniella
Malmgreniella baschi,370453,Malmgreniella baschi,species,Animalia,190328,Malmgreniella,4,CMBIA/00219Malmgreniella_baschiDorsalVRR+1323113850.jpg,1.333,Malmgreniella baschi
Malmgreniella macginitiei,981319,Malmgreniella macginitiei,species,Animalia,190328,Malmgreniella,2,NA,NA,NA
Malmgreniella nigralba,205758,Malmgreniella nigralba,species,Animalia,190328,Malmgreniella,10,CMBIA/00220Malmgreniella_nigralbaWholeVRR+1323113852.jpg,1.333,Malmgreniella nigralba
Margarites,151128,Margarites,genus,Animalia,532447,Margaritidae,316,BEAUF/beau2011-202d+1324657378.jpg,1.333,Margarites
Marphysa,28562,Marphysa,genus,Animalia,28561,Eunicidae,501,CMBIA/00223Marphysa_disjunctaDorsalVRR+1323113858.jpg,1.333,Marphysa
Marphysa disjuncta,300497,Marphysa disjuncta,species,Animalia,28562,Marphysa,6,CMBIA/00223Marphysa_disjunctaDorsalVRR+1323113858.jpg,1.333,Marphysa disjuncta
Marphysa stylobranchiata,854051,Marphysa stylobranchiata,species,Animalia,28562,Marphysa,1,WIZCO/OIMB-006-p2+1526934626.jpg,1.333,Marphysa stylobranchiata
Mayerella banksia,996408,Mayerella banksia,species,Animalia,955680,Mayerella,4,LHABC/CCDB31224_C05.3+1632341457.JPG,1.499,Mayerella banksia
Mediomastus,156427,Mediomastus,genus,Animalia,122706,Capitellidae,126,HZPLY/bioug03501-f08+1351869910.jpg,1.333,Mediomastus
Megabalanus californicus,979125,Megabalanus californicus,species,Animalia,27792,Megabalanus,3,NA,NA,Megabalanus californicus
Megamoera subtener,534525,Megamoera subtener,species,Animalia,512579,Megamoera,8,NJCGS/10biobc-01062+1295633110.jpg,1.333,Megamoera subtener
Megastraea undosa,803098,Megastraea undosa,species,Animalia,803097,Megastraea,13,DISA/7305_DISCO7305_dor_2017_10_17_12_08_16_[C]+1508256510.jpg,1.499,Megastraea undosa
Megasurcula,370511,Megasurcula,genus,Animalia,353048,Pseudomelatomidae,1,CMBIA/00336Megasurcula_carpenteriVRR+1324496470.jpg,1.499,NA
Megasurcula carpenteriana,370512,Megasurcula carpenteriana,species,Animalia,370511,Megasurcula,1,CMBIA/00336Megasurcula_carpenteriVRR+1324496470.jpg,1.499,Megasurcula carpenteriana
Megasyllis nipponica,893607,Megasyllis nipponica,species,Animalia,506769,Megasyllis,6,"DISA/7439_DISCO7439_2018_10_04_10_49_58_[B,Radius9,Smoothing4]+1538679016.jpg",1.499,Megasyllis nipponica
Melampus olivaceus,682508,Melampus olivaceus,species,Animalia,85015,Melampus,1,NA,NA,NA
Melanochlamys diomedea,103964,Melanochlamys diomedea,species,Animalia,103962,Melanochlamys,6,LHABC/BIOUG48552_C04.1+1637091345.jpg,1.502,Melanochlamys diomedea
Melinna,299360,Melinna,genus,Animalia,82542,Ampharetidae,93,POLNB/UMBergen_NB_polych510+1399058146.JPG,1.499,Melinna
Melinna heterodonta,370456,Melinna heterodonta,species,Animalia,299360,Melinna,2,CMBIA/00226Melinna_heterodontaVRRDorsal+1323113864.jpg,1.333,Melinna heterodonta
Melinna oculata,299361,Melinna oculata,species,Animalia,299360,Melinna,4,CMBIA/DSC_1068Corr+1288127348.jpg,1.602,Melinna oculata
Mendicula ferruginosa,673986,Mendicula ferruginosa,species,Animalia,673985,Mendicula,19,ICBA/ZMBN_140379+1625758624.jpg,1.333,Mendicula ferruginosa
Merona,726311,Merona,genus,Animalia,532613,Oceaniidae,1,SWEMA/GNM7464_156Hydrozoa1589V+1442846542.JPG,1.499,NA
Mesocentrotus franciscanus,592169,Mesocentrotus franciscanus,species,Animalia,592168,Mesocentrotus,119,DSPEC/Bamfield_08_279+1224348668.jpg,0.997,Mesocentrotus franciscanus
Mesochaetopterus,80366,Mesochaetopterus,genus,Animalia,24831,Chaetopteridae,17,HZPLY/BIOUG06647-D03-5+1374285852.jpg,1.478,Mesochaetopterus
Mesocrangon munitella,955719,Mesocrangon munitella,species,Animalia,322784,Mesocrangon,5,BBPS/dFHL_11722a+1585282422.jpg,1.698,Mesocrangon munitella
Metacarcinus anthonyi,293160,Metacarcinus anthonyi,species,Animalia,100363,Metacarcinus,12,LACSA/DNA_trawl_invert_Metacarcinus_anthonyi_T0-61_plate_1_cell_F5+1281012684.jpg,1.333,Metacarcinus anthonyi
Metacarcinus gracilis,201873,Metacarcinus gracilis,species,Animalia,100363,Metacarcinus,37,BHAK/A_Metacarcinus_gracilis_47399BHAK-0522dHAK_01427+1602546704.JPG,1.338,Metacarcinus gracilis
Metaphoxus frequens,981348,Metaphoxus frequens,species,Animalia,735038,Metaphoxus,1,NA,NA,NA
Metatiron tropakis,981351,Metatiron tropakis,species,Animalia,981350,Metatiron,1,NA,NA,NA
Microcosmus squamiger,104612,Microcosmus squamiger,species,Animalia,104611,Microcosmus,365,NLGIM/RMNH.5013557+1457380152.jpg,1.333,Microcosmus squamiger
Microjassa,808543,Microjassa,genus,Animalia,1602,Ischyroceridae,3,FHL/BMBM-0997+1522880862.JPG,1.509,NA
Microjassa barnardi,973583,Microjassa barnardi,species,Animalia,808543,Microjassa,2,BHAK/dHAKB_02829a+1646090985.jpg,1.174,Microjassa barnardi
Microphthalmus,714379,Microphthalmus,genus,Animalia,25266,Hesionidae,11,PONOR/NTNU-VM-75090+1576613556.jpg,1.333,Microphthalmus
Micropleustes nautilus,803393,Micropleustes nautilus,species,Animalia,803392,Micropleustes,2,BHAK/dHAK_07791a+1518310058.jpg,1.509,Micropleustes nautilus
Micropodarke dubia,190361,Micropodarke dubia,species,Animalia,190360,Micropodarke,29,BCPOL/BAMPOL0105+1217254738.JPG,1.333,Micropodarke dubia
Micrura,25880,Micrura,genus,Animalia,1819,Lineidae,182,NORGE/1444b+1393436272.jpg,1.546,Micrura
Micrura wilsoni,939103,Micrura wilsoni,species,Animalia,25880,Micrura,10,POIMB/dOIMB_00438a+1565290510.jpg,2.254,Micrura wilsoni
Modiolus,2457,Modiolus,genus,Animalia,197311,Modiolinae,510,CBMB/00034+1271078644.jpg,1.633,Modiolus
Modiolus sacculifer,1075809,Modiolus sacculifer,species,Animalia,2457,Modiolus,1,NA,NA,NA
Molgula,210801,Molgula,genus,Animalia,101156,Molgulidae,227,ASCAN/S3MOLA390-b+1299596880.jpg,0.77,Molgula
Molgula manhattensis,505893,Molgula manhattensis,species,Animalia,210801,Molgula,121,HABFA/ZMBN_147828+1656351498.JPG,1.5,Molgula manhattensis
Molgula pugetiensis,981337,Molgula pugetiensis,species,Animalia,210801,Molgula,1,NA,NA,NA
Molpadia arenicola,852449,Molpadia arenicola,species,Animalia,99741,Molpadia,1,NA,NA,NA
Molpadia intermedia,99742,Molpadia intermedia,species,Animalia,99741,Molpadia,13,DSPEC/Bamfield_08_384+1223839620.jpg,1.499,Molpadia intermedia
Monobrachium parasitum,669279,Monobrachium parasitum,species,Animalia,669278,Monobrachium,5,NA,NA,Monobrachium parasitum
Monocorophium,306772,Monocorophium,genus,Animalia,299382,Corophiinae,217,BNSA/MT01189+1311360922.jpg,1.217,Monocorophium
Monocorophium acherusicum,572676,Monocorophium acherusicum,species,Animalia,306772,Monocorophium,109,BNSA/MT01189+1311360922.jpg,1.217,Monocorophium acherusicum
Monocorophium insidiosum,347149,Monocorophium insidiosum,species,Animalia,306772,Monocorophium,94,WWAMP/L191AR1-14b+1219781418.jpg,1.317,Monocorophium insidiosum
Monocorophium uenoi,1124657,Monocorophium uenoi,species,Animalia,306772,Monocorophium,1,NA,NA,NA
Monoculodes,5357,Monoculodes,genus,Animalia,1607,Oedicerotidae,75,CAISN/BIOUG00343-C08+1371223168.jpg,1.322,Monoculodes
Monoculodes emarginatus,499246,Monoculodes emarginatus,species,Animalia,5357,Monoculodes,3,CMBIA/00620Monoculodes_emarginataVRR+1351801158.jpg,1.333,Monoculodes emarginatus
Mooreonuphis,299346,Mooreonuphis,genus,Animalia,79669,Onuphidae,17,BHAK/dHAKB-01798a+1620252080.jpg,1.61,NA
Mooreonuphis exigua,981343,Mooreonuphis exigua,species,Animalia,299346,Mooreonuphis,3,NA,NA,NA
Mooreonuphis nebulosa,299347,Mooreonuphis nebulosa,species,Animalia,299346,Mooreonuphis,3,CMBIA/DSC_0941Corr+1288127318.jpg,1.488,Mooreonuphis nebulosa
Mooreonuphis stigmatis,807537,Mooreonuphis stigmatis,species,Animalia,299346,Mooreonuphis,10,BHAK/dHAKB-01798a+1620252080.jpg,1.61,Mooreonuphis stigmatis
Mopalia,4640,Mopalia,genus,Animalia,348865,Mopaliinae,515,RBCMI/IMG_0933+1396640204.JPG,1.499,Mopalia
Munida quadrispina,8462,Munida quadrispina,species,Animalia,5552,Munida,27,DQCS/JLKS-001_009+1213293060.JPG,1.499,Munida quadrispina
Munna,175077,Munna,genus,Animalia,122887,Munnidae,83,HABFA/ZMBN_132532_l+1573758158.jpg,1.333,Munna
Munnopsurus,164156,Munnopsurus,genus,Animalia,88696,Munnopsidae,36,NOISO/ZMBN_98326+1425118730.jpg,1.296,NA
Arcuatula senhousia,799824,Arcuatula senhousia,species,Animalia,752193,Arcuatula,43,DISA/6171_img_065+1486514480.jpg,1.499,Arcuatula senhousia
Musculus,175657,Musculus,genus,Animalia,950294,Musculinae,136,SWEMA/GNM7460_112MollOvr7990V+1416511074.JPG,1.499,Musculus
Mya arenaria,30912,Mya arenaria,species,Animalia,2363,Mya,272,MMMOL/11MMMOL-00047+1335380694.jpg,1.333,Mya arenaria
Myrianida,153152,Myrianida,genus,Animalia,214511,Autolytinae,99,HABFA/ZMBN_130395_live_[3]+1594145516.jpg,1.495,Myrianida
Myrianida pachycera,506669,Myrianida pachycera,species,Animalia,153152,Myrianida,3,NA,NA,NA
Myriochele,210794,Myriochele,genus,Animalia,29433,Oweniidae,45,MIWAP/ZMBN_107461+1455906306.jpg,1.5,Myriochele
Myriochele olgae,700415,Myriochele olgae,species,Animalia,210794,Myriochele,4,POLNB/ZMBN_98284+1424895566.JPG,1.499,Myriochele olgae
Myriotrochus,217630,Myriotrochus,genus,Animalia,217629,Myriotrochidae,45,ECHNO/ZMBN_120551+1515703008.JPG,1.499,Myriotrochus
Mysella,600736,Mysella,genus,Animalia,893967,Montacutinae,25,SWEMA/GNM7460_28MollOvr7997V+1413997660.JPG,1.499,Mysella
Mysidopsis,50826,Mysidopsis,genus,Animalia,1718,Mysidae,27,CUMNB/UMBergen_NB_mysi03+1393868354.jpg,1.331,NA
Mystides,599997,Mystides,genus,Animalia,214498,Eteoninae,35,CRYNO/MAREANO_13_028+1395844764.jpg,1.333,NA
Mytilus,2434,Mytilus,genus,Animalia,79145,Mytilinae,4726,CCMLS/IMG_3004+1212595762.JPG,1.499,Mytilus
Myxicola,160010,Myxicola,genus,Animalia,30549,Sabellidae,59,NBPOL/Huntsman_08_228+1218408316.JPG,1.499,Myxicola
Myxoderma platyacanthum,30113,Myxoderma platyacanthum,species,Animalia,30112,Myxoderma,4,LACSA/DNA_trawl_invert_Myxoderma_platyacanthum_T4-305_plate_2_cell_B6+1258140504.jpg,1.333,Myxoderma platyacanthum
Naineris,193063,Naineris,genus,Animalia,29417,Orbiniidae,197,KBPOL/11bioak-1071+1308233304.jpg,1.502,Naineris
Naineris dendritica,205762,Naineris dendritica,species,Animalia,193063,Naineris,42,KBPOL/11BIOAK-1064+1305604410.JPG,1.485,Naineris dendritica
Naineris grubei,923588,Naineris grubei,species,Animalia,193063,Naineris,1,NA,NA,NA
Naineris quadricuspida,258924,Naineris quadricuspida,species,Animalia,193063,Naineris,41,KBPOL/11bioak-1071+1308233304.jpg,1.502,Naineris quadricuspida
Naineris uncinata,807531,Naineris uncinata,species,Animalia,193063,Naineris,19,BHAK/dHAKB-01810a+1620252098.jpg,1.267,Naineris uncinata
Nassarius,6418,Nassarius,genus,Animalia,276839,Nassariinae,1405,MIWAM/ZMBN_92206_2+1379076502.jpg,1.509,Nassarius
Nassarius tiarula,980685,Nassarius tiarula,species,Animalia,6418,Nassarius,13,NA,NA,Nassarius tiarula
Neaeromya compressa,1132739,Neaeromya compressa,species,Animalia,955918,Neaeromya,1,LHABC/BIOUG48552_D06.1+1637094203.jpg,1.502,Neaeromya compressa
Neaeromya rugifera,1206943,Neaeromya rugifera,species,Animalia,955918,Neaeromya,1,BHAK/11_06069a+1669421632.jpg,1.153,Neaeromya rugifera
Neanthes,33309,Neanthes,genus,Animalia,30439,Nereididae,308,POLV/ECOSUR-OH-0945+1452281980.JPG,1.499,NA
Neanthes acuminata,652443,Neanthes acuminata,species,Animalia,33309,Neanthes,71,NA,NA,NA
Neastacilla californica,1075811,Neastacilla californica,species,Animalia,1075810,Neastacilla,2,NA,NA,NA
Nebalia,303329,Nebalia,genus,Animalia,1706,Nebaliidae,182,DECNB/ZMBN_108056+1499276242.jpg,1.5,Nebalia
Nebalia hessleri,303355,Nebalia hessleri,species,Animalia,303329,Nebalia,8,NA,NA,NA
Nebalia pugettensis,736346,Nebalia pugettensis,species,Animalia,303329,Nebalia,5,NA,NA,Nebalia pugettensis
Neilonella,987906,Neilonella,genus,Animalia,532560,Neilonellidae,4,NA,NA,NA
Nellobia eusoma,293175,Nellobia eusoma,species,Animalia,293174,Nellobia,2,LACSA/DNA_trawl_invert_Nellobia_eusoma_T5-305_plate_2_cell_B2Crop+1285101912.jpg,1.333,Nellobia eusoma
Neocrangon resima,293146,Neocrangon resima,species,Animalia,293137,Neocrangon,4,LACSA/DNA_trawl_invert_Neocrangon_zacae_T5-137_plate_1_cell_B12Lighter+1285012678.jpg,1.333,Neocrangon resima
Neodexiospira brasiliensis,591209,Neodexiospira brasiliensis,species,Animalia,591208,Neodexiospira,11,ARSPR/BIOUG03788-D02+1390408530.jpg,1.34,Neodexiospira brasiliensis
Neosabellaria cementarium,807527,Neosabellaria cementarium,species,Animalia,807526,Neosabellaria,23,WIZFB/LFHL26_nectochaete_of_Neosabellaria_cementarium+1653664010.jpg,0.92,Neosabellaria cementarium
Simnia avena,795975,Simnia avena,species,Animalia,6381,Simnia,11,NA,NA,NA
Neotrypaea,322840,Neotrypaea,genus,Animalia,322835,Callianassinae,736,CAISN/BIOUG01717-F01+1345061612.jpg,1.333,NA
Neotrypaea californiensis,595485,Neotrypaea californiensis,species,Animalia,322840,Neotrypaea,728,CAISN/BIOUG01717-F01+1345061612.jpg,1.333,Neotrypaea californiensis
Neotrypaea gigas,955684,Neotrypaea gigas,species,Animalia,322840,Neotrypaea,7,BBPS/dFHL_11017a+1585258988.jpg,2.162,Neotrypaea gigas
Nephasoma,79164,Nephasoma,genus,Animalia,79163,Golfingiidae,80,NBAAV/78+1405523410.jpg,1.333,Nephasoma
Nephasoma diaphanes,106567,Nephasoma diaphanes,species,Animalia,79164,Nephasoma,19,BBPS/dFHL_12567a+1585348500.jpg,1.803,Nephasoma diaphanes
Nephasoma pellucidum,106565,Nephasoma pellucidum,species,Animalia,79164,Nephasoma,4,NA,NA,NA
